employee_id,login_attempts,network_traffic_mb,data_transfer_gb,hour_of_day,attack_type,status,severity
E015,0,0.2490234375,0.0021257400512695,0,normal.,NORMAL,-
E029,0,0.04296875,0.0001077651977539,12,normal.,NORMAL,-
E005,0,0.365234375,0.0003185272216796,14,normal.,NORMAL,-
E030,0,1.435546875,0.0003166198730468,12,normal.,NORMAL,-
E025,0,0.1025390625,0.0001392364501953,16,normal.,NORMAL,-
E042,0,0.046875,4.57763671875e-05,11,normal.,NORMAL,-
E023,0,0.3291015625,0.003204345703125,15,normal.,NORMAL,-
E027,0,0.1025390625,0.0001401901245117,16,normal.,NORMAL,-
E046,0,1.4970703125,0.0003471374511718,4,normal.,NORMAL,-
E011,0,0.2626953125,0.0088567733764648,16,normal.,NORMAL,-
E044,0,0.193359375,0.0006284713745117,0,normal.,NORMAL,-
E019,0,0.0439453125,0.0001249313354492,15,normal.,NORMAL,-
E037,0,1.0078125,0.0,19,smurf.,NORMAL,-
E012,0,0.234375,0.0080223083496093,1,normal.,NORMAL,-
E015,0,0.28125,0.0007123947143554,1,normal.,NORMAL,-
E035,0,0.029296875,0.0,9,normal.,NORMAL,-
E021,0,0.265625,0.0012483596801757,21,normal.,NORMAL,-
E040,0,0.2900390625,0.0013160705566406,3,normal.,NORMAL,-
E029,0,0.142578125,0.0001001358032226,13,normal.,NORMAL,-
E049,0,0.19140625,0.0012149810791015,18,normal.,NORMAL,-
E036,0,12.03515625,0.0,21,normal.,ANOMALY,LOW
E030,0,0.283203125,0.0034284591674804,8,normal.,NORMAL,-
E017,0,0.205078125,0.0012798309326171,17,normal.,NORMAL,-
E049,0,1.1826171875,0.000314712524414,3,normal.,NORMAL,-
E048,0,2.337890625,0.0003871917724609,16,normal.,NORMAL,-
E044,0,0.259765625,0.0088100433349609,21,normal.,NORMAL,-
E028,0,0.2822265625,0.002359390258789,20,normal.,NORMAL,-
E039,0,0.6259765625,0.0,16,normal.,NORMAL,-
E031,0,0.3056640625,0.000253677368164,17,normal.,NORMAL,-
E032,0,0.2158203125,0.0019445419311523,12,normal.,NORMAL,-
E041,0,0.296875,0.001016616821289,16,normal.,NORMAL,-
E037,0,0.041015625,4.00543212890625e-05,9,normal.,NORMAL,-
E035,0,0.1435546875,0.0001401901245117,23,normal.,NORMAL,-
E036,0,0.23046875,0.0070142745971679,12,normal.,NORMAL,-
E028,0,0.224609375,0.0013160705566406,17,normal.,NORMAL,-
E013,0,0.2138671875,0.005568504333496,20,normal.,NORMAL,-
E030,0,0.1025390625,0.0001392364501953,13,normal.,NORMAL,-
E004,0,1.1689453125,0.000314712524414,8,normal.,NORMAL,-
E018,0,0.20703125,0.0120429992675781,10,normal.,NORMAL,-
E043,0,0.73046875,0.0,20,normal.,NORMAL,-
E006,0,0.234375,0.0010337829589843,4,normal.,NORMAL,-
E011,0,0.1435546875,0.0001001358032226,3,normal.,NORMAL,-
E048,0,0.0,0.0,12,normal.,NORMAL,-
E002,0,0.287109375,0.0009593963623046,14,normal.,NORMAL,-
E002,0,0.0,0.0,22,normal.,NORMAL,-
E046,0,0.1572265625,0.0003471374511718,3,normal.,NORMAL,-
E045,0,0.2001953125,0.0076904296875,19,normal.,NORMAL,-
E018,0,0.1630859375,0.032440185546875,8,normal.,NORMAL,-
E020,0,0.2998046875,0.0023908615112304,6,normal.,NORMAL,-
E016,0,0.2021484375,0.0002937316894531,13,normal.,NORMAL,-
E019,0,0.3232421875,0.0003128051757812,18,normal.,NORMAL,-
E010,0,0.3427734375,0.0075206756591796,13,normal.,NORMAL,-
E049,0,0.2177734375,0.0010805130004882,3,normal.,NORMAL,-
E007,0,0.3798828125,0.0010433197021484,16,normal.,NORMAL,-
E005,0,0.2822265625,0.0032987594604492,7,normal.,NORMAL,-
E001,0,0.21875,0.000589370727539,17,normal.,NORMAL,-
E035,0,0.1025390625,0.0001401901245117,16,normal.,NORMAL,-
E016,0,0.0,0.0,8,normal.,NORMAL,-
E018,0,0.029296875,0.0,5,normal.,NORMAL,-
E019,0,0.205078125,0.0026807785034179,22,normal.,NORMAL,-
E046,0,0.927734375,0.0003232955932617,10,normal.,NORMAL,-
E045,0,0.6982421875,0.0003128051757812,23,normal.,NORMAL,-
E003,0,0.1025390625,0.0,11,normal.,NORMAL,-
E011,0,0.212890625,0.0009975433349609,18,normal.,NORMAL,-
E001,0,0.1416015625,0.0001001358032226,1,normal.,NORMAL,-
E004,0,0.19921875,0.0002412796020507,5,normal.,NORMAL,-
E044,0,0.1025390625,0.0001382827758789,22,normal.,NORMAL,-
E042,0,0.0,0.0,4,neptune.,NORMAL,-
E028,0,0.1025390625,0.0001401901245117,1,normal.,NORMAL,-
E029,0,0.326171875,0.001683235168457,8,normal.,NORMAL,-
E047,0,0.2041015625,0.009246826171875,8,normal.,NORMAL,-
E023,0,1.0078125,0.0,17,smurf.,NORMAL,-
E008,0,0.1435546875,0.0,8,normal.,NORMAL,-
E020,0,0.2158203125,0.0002574920654296,10,normal.,NORMAL,-
E030,0,0.232421875,0.0014991760253906,12,normal.,NORMAL,-
E047,0,0.228515625,0.0018415451049804,19,normal.,NORMAL,-
E048,0,0.0,0.0,17,normal.,NORMAL,-
E028,0,0.30078125,0.0015811920166015,19,normal.,NORMAL,-
E034,0,0.2939453125,0.0006675720214843,0,normal.,NORMAL,-
E000,0,0.203125,0.0011730194091796,13,normal.,NORMAL,-
E039,0,0.1513671875,0.000594139099121,16,normal.,NORMAL,-
E020,0,0.029296875,0.0,13,normal.,NORMAL,-
E024,0,0.142578125,0.0001001358032226,4,normal.,NORMAL,-
E048,0,0.8359375,0.0003213882446289,2,normal.,NORMAL,-
E028,0,0.1435546875,0.0,4,normal.,NORMAL,-
E013,0,0.2255859375,0.0021352767944335,11,normal.,NORMAL,-
E026,0,0.029296875,0.0,14,normal.,NORMAL,-
E033,0,0.2041015625,0.0007219314575195,22,normal.,NORMAL,-
E043,0,0.3232421875,0.0032777786254882,22,normal.,NORMAL,-
E002,0,0.3203125,0.001317024230957,8,normal.,NORMAL,-
E030,0,0.3193359375,0.0123233795166015,0,normal.,NORMAL,-
E039,0,0.2021484375,0.0019750595092773,18,normal.,NORMAL,-
E012,0,0.263671875,0.0073204040527343,14,normal.,NORMAL,-
E043,0,0.1025390625,0.0,21,normal.,NORMAL,-
E028,0,0.966796875,0.000319480895996,9,normal.,NORMAL,-
E034,0,0.7734375,0.000314712524414,9,normal.,NORMAL,-
E030,0,0.013671875,3.910064697265625e-05,21,normal.,NORMAL,-
E024,0,0.0,0.0,8,neptune.,NORMAL,-
E031,0,0.8154296875,0.0003595352172851,11,normal.,NORMAL,-
E036,0,0.2509765625,0.0008325576782226,15,normal.,NORMAL,-
E018,0,0.2119140625,0.0004177093505859,17,normal.,NORMAL,-
E014,0,0.2822265625,0.000401496887207,20,normal.,NORMAL,-
E047,0,1.404296875,0.0003166198730468,11,normal.,NORMAL,-
E045,0,0.369140625,0.0003738403320312,23,normal.,NORMAL,-
E003,0,0.3603515625,0.0003118515014648,19,normal.,NORMAL,-
E036,0,1.0537109375,0.0003175735473632,17,normal.,NORMAL,-
E046,0,0.029296875,0.0,6,normal.,NORMAL,-
E038,0,0.044921875,0.0001068115234375,7,normal.,NORMAL,-
E025,0,0.2138671875,0.0003824234008789,17,normal.,NORMAL,-
E020,0,0.19140625,0.0055217742919921,16,normal.,NORMAL,-
E046,0,0.3173828125,0.042637825012207,4,normal.,ANOMALY,LOW
E013,0,0.228515625,0.0138254165649414,17,normal.,NORMAL,-
E042,0,5.2109375,0.0,1,normal.,ANOMALY,LOW
E036,0,0.3037109375,0.0015029907226562,14,normal.,NORMAL,-
E001,0,0.1025390625,0.0001392364501953,3,normal.,NORMAL,-
E019,0,0.1435546875,0.0001001358032226,21,normal.,NORMAL,-
E024,0,0.2822265625,0.00177001953125,17,normal.,NORMAL,-
E003,0,0.185546875,0.002878189086914,15,normal.,NORMAL,-
E000,0,2.517578125,0.0003185272216796,17,normal.,NORMAL,-
E002,0,0.2158203125,0.0064468383789062,17,normal.,NORMAL,-
E013,0,0.3076171875,0.0006628036499023,17,normal.,NORMAL,-
E047,0,0.201171875,0.0029373168945312,1,normal.,NORMAL,-
E049,0,0.0439453125,0.0001516342163085,9,normal.,NORMAL,-
E007,0,0.197265625,0.0026607513427734,5,normal.,NORMAL,-
E035,0,0.09765625,3.0517578125e-05,18,normal.,NORMAL,-
E041,0,0.0,0.0,7,normal.,NORMAL,-
E039,0,0.30859375,0.0105218887329101,3,normal.,NORMAL,-
E028,0,1.015625,0.0003166198730468,11,normal.,NORMAL,-
E015,0,0.1025390625,0.0001401901245117,6,normal.,NORMAL,-
E026,0,0.216796875,0.0009517669677734,19,normal.,NORMAL,-
E001,0,0.2353515625,0.008554458618164,1,normal.,NORMAL,-
E000,0,0.04296875,6.771087646484375e-05,9,normal.,NORMAL,-
E035,0,0.328125,0.00408935546875,17,normal.,NORMAL,-
E049,0,0.2333984375,0.0204811096191406,7,normal.,NORMAL,-
E047,0,0.2744140625,0.0004587173461914,11,normal.,NORMAL,-
E024,0,0.2734375,0.0030488967895507,9,normal.,NORMAL,-
E009,0,0.1025390625,0.0001401901245117,18,normal.,NORMAL,-
E026,0,0.2197265625,0.0004911422729492,13,normal.,NORMAL,-
E011,0,0.1435546875,0.0001001358032226,18,normal.,NORMAL,-
E021,0,0.0283203125,0.0,4,normal.,NORMAL,-
E016,0,0.7255859375,0.0003185272216796,6,normal.,NORMAL,-
E009,0,0.142578125,0.0001001358032226,2,normal.,NORMAL,-
E023,0,0.185546875,0.0021314620971679,6,normal.,NORMAL,-
E025,0,0.041015625,4.00543212890625e-05,15,normal.,NORMAL,-
E033,0,0.1435546875,0.0001001358032226,5,normal.,NORMAL,-
E031,0,0.28125,0.0002374649047851,8,normal.,NORMAL,-
E020,0,0.0,0.0,21,normal.,NORMAL,-
E024,0,0.04296875,0.0001096725463867,10,normal.,NORMAL,-
E033,0,0.1943359375,0.0003376007080078,12,normal.,NORMAL,-
E011,0,0.322265625,0.0011072158813476,23,normal.,NORMAL,-
E026,0,0.3232421875,0.000401496887207,7,normal.,NORMAL,-
E039,0,0.21875,0.0003957748413085,11,normal.,NORMAL,-
E037,0,0.3193359375,0.0005083084106445,1,normal.,NORMAL,-
E016,0,1.0078125,0.0,22,smurf.,NORMAL,-
E028,0,2.1875,0.0003204345703125,18,normal.,NORMAL,-
E020,0,0.2978515625,0.0023908615112304,17,normal.,NORMAL,-
E006,0,0.2841796875,0.0279664993286132,11,normal.,NORMAL,-
E004,0,0.173828125,0.0029735565185546,12,normal.,NORMAL,-
E033,0,0.2587890625,0.0005903244018554,23,normal.,NORMAL,-
E000,0,0.0,0.0,23,normal.,NORMAL,-
E022,0,1.205078125,0.0003166198730468,12,normal.,NORMAL,-
E035,0,1.5703125,0.0002660751342773,20,normal.,NORMAL,-
E030,0,0.205078125,0.0002508163452148,23,normal.,NORMAL,-
E016,0,0.2236328125,0.0144481658935546,8,normal.,NORMAL,-
E037,0,0.2880859375,0.001596450805664,5,normal.,NORMAL,-
E028,0,0.2919921875,0.0025672912597656,18,normal.,NORMAL,-
E037,0,0.0439453125,0.0001087188720703,0,normal.,NORMAL,-
E012,0,0.21875,0.0008821487426757,14,normal.,NORMAL,-
E047,0,0.2431640625,0.0024576187133789,7,normal.,NORMAL,-
E012,0,0.1826171875,0.0115861892700195,20,normal.,NORMAL,-
E010,0,0.142578125,0.0001001358032226,13,normal.,NORMAL,-
E028,0,0.2734375,0.0024490356445312,17,normal.,NORMAL,-
E038,0,0.2939453125,0.0007381439208984,3,normal.,NORMAL,-
E040,0,0.029296875,2.86102294921875e-05,20,normal.,NORMAL,-
E032,0,0.1025390625,0.0,3,normal.,NORMAL,-
E024,0,0.951171875,0.0003166198730468,3,normal.,NORMAL,-
E011,0,0.046875,4.57763671875e-05,7,normal.,NORMAL,-
E007,0,0.2744140625,0.0050888061523437,4,normal.,NORMAL,-
E041,0,0.2392578125,0.0023317337036132,17,normal.,NORMAL,-
E036,0,0.9423828125,0.0,14,normal.,NORMAL,-
E014,0,0.22265625,0.0007591247558593,21,normal.,NORMAL,-
E025,0,0.240234375,0.003575325012207,13,normal.,NORMAL,-
E017,0,0.458984375,0.0078744888305664,22,normal.,NORMAL,-
E009,0,0.2861328125,0.0020561218261718,20,normal.,NORMAL,-
E018,0,0.0439453125,0.0001220703125,9,normal.,NORMAL,-
E011,0,0.298828125,0.0003185272216796,10,normal.,NORMAL,-
E020,0,0.2138671875,0.0030832290649414,10,normal.,NORMAL,-
E025,0,1.521484375,0.000314712524414,22,normal.,NORMAL,-
E021,0,0.294921875,0.0010538101196289,9,normal.,NORMAL,-
E046,0,0.197265625,0.0006189346313476,9,normal.,NORMAL,-
E023,0,0.17578125,0.0018854141235351,5,normal.,NORMAL,-
E048,0,0.73046875,0.0,22,normal.,NORMAL,-
E029,0,0.3134765625,0.0100288391113281,19,normal.,NORMAL,-
E049,0,0.3115234375,0.0011310577392578,16,normal.,NORMAL,-
E004,0,0.212890625,0.0011548995971679,11,normal.,NORMAL,-
E001,0,0.3095703125,0.0004911422729492,21,normal.,NORMAL,-
E047,0,0.2314453125,0.0002622604370117,2,normal.,NORMAL,-
E020,0,0.197265625,0.0003118515014648,3,normal.,NORMAL,-
E006,0,0.1025390625,0.0001392364501953,16,normal.,NORMAL,-
E034,0,0.2197265625,0.0007476806640625,21,normal.,NORMAL,-
E029,0,0.224609375,0.0158233642578125,6,normal.,NORMAL,-
E011,0,0.271484375,0.008920669555664,9,normal.,NORMAL,-
E004,0,0.044921875,0.0001335144042968,22,normal.,NORMAL,-
E001,0,1.1611328125,0.000309944152832,2,normal.,NORMAL,-
E042,0,0.31640625,0.0016384124755859,4,normal.,NORMAL,-
E026,0,0.3134765625,0.0005006790161132,6,normal.,NORMAL,-
E014,0,1.650390625,0.0003919601440429,16,normal.,NORMAL,-
E007,0,0.33203125,0.0245571136474609,19,normal.,NORMAL,-
E012,0,0.3076171875,0.0013389587402343,11,normal.,NORMAL,-
E037,0,0.0283203125,0.0,19,normal.,NORMAL,-
E019,0,0.2060546875,0.0005416870117187,21,normal.,NORMAL,-
E018,0,0.2001953125,0.0067672729492187,8,normal.,NORMAL,-
E048,0,0.2314453125,0.0057907104492187,8,normal.,NORMAL,-
E019,0,0.345703125,0.0017461776733398,9,normal.,NORMAL,-
E002,0,0.201171875,0.0004329681396484,19,normal.,NORMAL,-
E009,0,0.19140625,0.0012149810791015,22,normal.,NORMAL,-
E039,0,0.3056640625,0.0004510879516601,12,normal.,NORMAL,-
E027,0,0.0,0.0,1,normal.,NORMAL,-
E001,0,0.3017578125,0.0013160705566406,5,normal.,NORMAL,-
E005,0,0.18359375,0.0059871673583984,8,normal.,NORMAL,-
E021,0,0.013671875,3.910064697265625e-05,16,normal.,NORMAL,-
E007,0,0.3740234375,0.0,3,normal.,NORMAL,-
E030,0,0.2421875,0.0011730194091796,12,normal.,NORMAL,-
E048,0,0.1025390625,0.0,3,normal.,NORMAL,-
E013,0,1.5810546875,0.0003137588500976,12,normal.,NORMAL,-
E032,0,0.2099609375,0.0030078887939453,20,normal.,NORMAL,-
E046,0,0.1953125,0.0004606246948242,7,normal.,NORMAL,-
E037,0,0.1025390625,0.0001401901245117,20,normal.,NORMAL,-
E033,0,0.029296875,0.0,14,normal.,NORMAL,-
E049,0,0.1025390625,0.0001401901245117,7,normal.,NORMAL,-
E028,0,0.3173828125,0.0059528350830078,8,normal.,NORMAL,-
E019,0,0.2548828125,0.0003633499145507,21,normal.,NORMAL,-
E003,0,0.142578125,0.0001001358032226,3,normal.,NORMAL,-
E041,0,0.2880859375,0.001255989074707,18,normal.,NORMAL,-
E038,0,0.2001953125,0.0004587173461914,21,normal.,NORMAL,-
E004,0,0.1455078125,0.000823974609375,11,normal.,NORMAL,-
E012,0,1.07421875,0.0003137588500976,14,normal.,NORMAL,-
E011,0,0.1025390625,0.0001392364501953,11,normal.,NORMAL,-
E011,0,0.2099609375,0.0039405822753906,17,normal.,NORMAL,-
E012,0,0.3095703125,0.0003843307495117,19,normal.,NORMAL,-
E014,0,0.3017578125,0.0002765655517578,1,normal.,NORMAL,-
E018,0,0.30078125,0.0013465881347656,12,normal.,NORMAL,-
E015,0,0.234375,0.0010614395141601,9,normal.,NORMAL,-
E014,0,0.0,0.0,16,normal.,NORMAL,-
E031,0,0.220703125,0.0122871398925781,18,normal.,NORMAL,-
E029,0,0.03515625,0.0,3,normal.,NORMAL,-
E043,0,0.1953125,0.0149707794189453,3,normal.,NORMAL,-
E037,0,0.2919921875,0.008819580078125,3,normal.,NORMAL,-
E014,0,0.158203125,0.0277729034423828,6,normal.,NORMAL,-
E010,0,0.3017578125,0.001296043395996,23,normal.,NORMAL,-
E027,0,0.1025390625,0.0,14,normal.,NORMAL,-
E012,0,0.2216796875,0.0003728866577148,13,normal.,NORMAL,-
E013,0,0.1845703125,0.0002985000610351,22,normal.,NORMAL,-
E044,0,2.4580078125,0.0003108978271484,12,normal.,NORMAL,-
E040,0,0.044921875,4.38690185546875e-05,0,normal.,NORMAL,-
E046,0,0.2998046875,0.0004940032958984,16,normal.,NORMAL,-
E028,0,0.3095703125,0.012054443359375,10,normal.,NORMAL,-
E033,0,0.2197265625,0.0007619857788085,1,normal.,NORMAL,-
E015,0,1.0078125,0.0,2,smurf.,NORMAL,-
E026,0,8.48046875,0.0,18,normal.,ANOMALY,LOW
E021,0,0.1025390625,0.0001401901245117,12,normal.,NORMAL,-
E006,0,0.232421875,0.0102167129516601,17,normal.,NORMAL,-
E014,0,0.9755859375,0.0003175735473632,7,normal.,NORMAL,-
E003,0,0.203125,0.000472068786621,0,normal.,NORMAL,-
E038,0,0.541015625,0.0,13,normal.,NORMAL,-
E033,0,0.3076171875,0.0013837814331054,1,normal.,NORMAL,-
E044,0,0.31640625,0.0002288818359375,4,normal.,NORMAL,-
E004,0,0.0419921875,0.0001296997070312,10,normal.,NORMAL,-
E033,0,0.212890625,0.0007438659667968,9,normal.,NORMAL,-
E043,0,0.240234375,0.0025606155395507,4,normal.,NORMAL,-
E041,0,0.275390625,0.0018033981323242,6,normal.,NORMAL,-
E012,0,0.2666015625,0.0042533874511718,15,normal.,NORMAL,-
E019,0,0.3349609375,0.004465103149414,9,normal.,NORMAL,-
E010,0,0.2080078125,0.000248908996582,14,normal.,NORMAL,-
E024,0,0.142578125,0.0001001358032226,1,normal.,NORMAL,-
E002,0,0.0087890625,3.4332275390625e-05,7,normal.,NORMAL,-
E047,0,0.3203125,0.002232551574707,16,normal.,NORMAL,-
E024,0,0.1025390625,0.0001401901245117,18,normal.,NORMAL,-
E001,0,0.19140625,0.0002717971801757,6,normal.,NORMAL,-
E038,0,0.232421875,0.0083141326904296,19,normal.,NORMAL,-
E004,0,4.0830078125,0.0003128051757812,1,normal.,NORMAL,-
E016,0,0.7294921875,0.0003137588500976,3,normal.,NORMAL,-
E004,0,0.2265625,0.0016422271728515,18,normal.,NORMAL,-
E019,0,0.2724609375,0.020608901977539,11,normal.,NORMAL,-
E029,0,0.205078125,0.0003528594970703,5,normal.,NORMAL,-
E011,0,0.4833984375,0.014317512512207,19,normal.,NORMAL,-
E023,0,2.185546875,0.0003118515014648,17,normal.,NORMAL,-
E037,0,0.28125,0.0003271102905273,7,normal.,NORMAL,-
E020,0,0.318359375,0.0027017593383789,4,normal.,NORMAL,-
E022,0,0.0,0.0,13,normal.,NORMAL,-
E002,0,0.23046875,0.0002326965332031,5,normal.,NORMAL,-
E016,0,9.2666015625,0.0003108978271484,6,normal.,ANOMALY,LOW
E041,0,0.0068359375,0.0001335144042968,3,normal.,NORMAL,-
E012,0,0.189453125,0.0060529708862304,7,normal.,NORMAL,-
E040,0,0.0,0.0,17,normal.,NORMAL,-
E000,0,0.2158203125,0.0021247863769531,21,normal.,NORMAL,-
E006,0,1.37109375,0.0003137588500976,0,normal.,NORMAL,-
E002,0,0.2314453125,0.0011940002441406,17,normal.,NORMAL,-
E019,0,0.205078125,0.00177001953125,19,normal.,NORMAL,-
E047,0,0.0419921875,0.0001249313354492,11,normal.,NORMAL,-
E019,0,0.3076171875,0.0013589859008789,13,normal.,NORMAL,-
E032,0,0.1025390625,0.0,20,normal.,NORMAL,-
E028,0,0.0419921875,0.000126838684082,22,normal.,NORMAL,-
E027,0,0.041015625,0.0001258850097656,15,normal.,NORMAL,-
E011,0,0.9599609375,0.0003128051757812,4,normal.,NORMAL,-
E016,0,0.3740234375,0.0,10,normal.,NORMAL,-
E035,0,0.83984375,0.0003204345703125,5,normal.,NORMAL,-
E024,0,0.0,0.0,7,normal.,NORMAL,-
E006,0,0.232421875,0.0001792907714843,4,normal.,NORMAL,-
E014,0,0.2158203125,0.0110816955566406,19,normal.,NORMAL,-
E019,0,0.150390625,0.0013456344604492,6,normal.,NORMAL,-
E001,0,0.30859375,0.0004596710205078,23,normal.,NORMAL,-
E005,0,0.14453125,0.0004119873046875,4,normal.,NORMAL,-
E047,0,0.0,0.0,6,normal.,NORMAL,-
E006,0,0.2431640625,0.0002851486206054,11,normal.,NORMAL,-
E039,0,0.1416015625,0.0125761032104492,16,normal.,NORMAL,-
E016,0,1.0078125,0.0,15,smurf.,NORMAL,-
E016,0,0.25,0.0060586929321289,4,normal.,NORMAL,-
E025,0,0.220703125,0.0017528533935546,9,normal.,NORMAL,-
E042,0,0.2607421875,0.0088567733764648,2,normal.,NORMAL,-
E043,0,0.0,0.0,11,normal.,NORMAL,-
E011,0,0.1884765625,0.0002927780151367,10,normal.,NORMAL,-
E032,0,0.244140625,0.00177001953125,23,normal.,NORMAL,-
E005,0,0.029296875,0.0,11,normal.,NORMAL,-
E030,0,0.1435546875,0.0001001358032226,4,normal.,NORMAL,-
E027,0,0.1669921875,0.0037431716918945,18,normal.,NORMAL,-
E022,0,0.1435546875,0.0001001358032226,23,normal.,NORMAL,-
E003,0,0.2724609375,0.000314712524414,5,normal.,NORMAL,-
E038,0,0.326171875,0.0006742477416992,6,normal.,NORMAL,-
E020,0,0.298828125,0.0023908615112304,21,normal.,NORMAL,-
E008,0,0.3203125,0.0014925003051757,21,normal.,NORMAL,-
E006,0,0.158203125,0.0036678314208984,6,normal.,NORMAL,-
E023,0,0.0859375,0.0,22,normal.,NORMAL,-
E011,0,0.20703125,0.0024137496948242,11,normal.,NORMAL,-
E034,0,0.2255859375,0.0014581680297851,19,normal.,NORMAL,-
E011,0,0.16015625,0.0028371810913085,4,normal.,NORMAL,-
E030,0,0.205078125,0.0218715667724609,13,normal.,NORMAL,-
E015,0,0.0,0.0,10,normal.,NORMAL,-
E012,0,1.6669921875,0.0003137588500976,17,normal.,NORMAL,-
E041,0,0.2158203125,0.0092706680297851,0,normal.,NORMAL,-
E015,0,0.201171875,0.0035905838012695,6,normal.,NORMAL,-
E030,0,10.638671875,0.0008716583251953,13,normal.,ANOMALY,LOW
E027,0,0.3056640625,0.002058982849121,2,normal.,NORMAL,-
E006,0,0.1025390625,0.0001392364501953,5,normal.,NORMAL,-
E038,0,0.142578125,0.0001001358032226,7,normal.,NORMAL,-
E018,0,0.1025390625,0.0001392364501953,20,normal.,NORMAL,-
E023,0,0.041015625,4.00543212890625e-05,5,normal.,NORMAL,-
E003,0,0.677734375,0.0019807815551757,15,normal.,NORMAL,-
E007,0,0.365234375,0.0069894790649414,19,normal.,NORMAL,-
E026,0,0.19921875,0.0108661651611328,7,normal.,NORMAL,-
E042,0,0.1416015625,0.0001001358032226,14,normal.,NORMAL,-
E008,0,0.23828125,0.0006608963012695,0,normal.,NORMAL,-
E044,0,0.1025390625,0.0001382827758789,19,normal.,NORMAL,-
E038,0,0.1416015625,0.0001001358032226,7,normal.,NORMAL,-
E027,0,0.3193359375,0.0004463195800781,2,normal.,NORMAL,-
E032,0,0.1953125,0.0005970001220703,4,normal.,NORMAL,-
E016,0,0.201171875,0.0029468536376953,0,normal.,NORMAL,-
E003,0,1.7109375,0.0003566741943359,20,normal.,NORMAL,-
E049,0,0.2294921875,0.0034217834472656,19,normal.,NORMAL,-
E032,0,0.205078125,0.0003013610839843,13,normal.,NORMAL,-
E004,0,0.283203125,0.0034589767456054,10,normal.,NORMAL,-
E023,0,0.3017578125,0.0002803802490234,23,normal.,NORMAL,-
E035,0,0.189453125,0.0005970001220703,22,normal.,NORMAL,-
E032,0,0.3056640625,0.0002994537353515,3,normal.,NORMAL,-
